Pituus;337;;;;;;;
;;;;;;;;
Latauspiste;Etäisyys;Etäisyys tiestä;Teho (kW);Laturien lkm;Tyyppi;Kauppa;Ruoka;Asiakkaille
McDonald’s Jyväskylä Tourula;0.5;0.3;225;2;CCS;0;1;0
Lidl Jyväskylä-Seppälä;0.5;0.6;50;1;CCS;1;0;1
Lidl Jyväskylä-Seppälä;0.5;0.6;50;1;CHAdeMO;1;0;1
Lidl Jyväskylä-Seppälä;0.5;0.6;22;1;Type2;1;0;1
Motonet Jyväskylä;0.5;0.7;11;2;Type2;0;0;0
Kauppakeskus Seppä;0.5;0.8;22;18;Type2;1;1;0
Prisma Jyväskylä Seppälä;0.5;0.6;22;3;Type2;1;1;1
Kotikeskus;5.5;1.5;50;2;CCS;1;1;0
Kotikeskus;5.5;1.5;50;2;CHAdeMO;1;1;0
Kotikeskus;5.5;1.5;22;2;Type2;1;1;0
Lidl Jyväskylä-Palokka;5.5;1.2;50;1;CCS;1;0;1
Lidl Jyväskylä-Palokka;5.5;1.2;50;1;CHAdeMO;1;0;1
Lidl Jyväskylä-Palokka;5.5;1.2;22;1;Type2;1;0;1
K-Citymarket;5.5;1.4;200;4;CCS;1;1;0
K-Citymarket;5.5;1.4;50;2;CHAdeMO;1;1;0
K-Citymarket;5.5;1.4;22;4;Type2;1;1;0
Neste K Kirri;7.3;0.5;11;2;Type2;0;0;0
ABC Hirvaskangas;32.3;0.5;125;4;SuperCharger;0;1;0
Lidl Äänekoski;43.3;2.4;50;1;CCS;1;0;1
Lidl Äänekoski;43.3;2.4;50;1;CHAdeMO;1;0;1
Lidl Äänekoski;43.3;2.4;22;1;Type2;1;0;1
Shell Äänekoski / Harpent Oy;43.3;2.4;50;1;CCS;0;1;0
Shell Äänekoski / Harpent Oy;43.3;2.4;50;1;CHAdeMO;0;1;0
Autoliike Koskinen Oy;99.7;0;24;1;CCS;1;1;0
Autoliike Koskinen Oy;99.7;0;24;1;CHAdeMO;1;1;0
Niemenharjun matkailukeskus;133;0.1;50;1;CCS;1;1;0
Niemenharjun matkailukeskus;133;0.1;50;1;CHAdeMO;1;1;0
Niemenharjun matkailukeskus;133;0.1;22;3;Type2;1;1;0
K-Supermarket Pihtipuhdas;136;0.2;50;1;CCS;1;0;0
K-Supermarket Pihtipuhdas;136;0.2;50;1;CHAdeMO;1;0;0
K-Supermarket Pihtipuhdas;136;0.2;22;2;Type2;1;0;0
Marjoniemi Camping;159;4.4;22;1;Type2;0;1;1
Vaskikello;181;0.2;50;1;CCS;0;1;0
Vaskikello;181;0.2;50;1;CHAdeMO;0;1;0
Vaskikello;181;0.2;16;1;Type2;0;1;0
Vaskikello;181;0.2;22;2;Type2;0;1;0
Vaskikello;181;0.2;11;1;Työmaapistoke;0;1;0
ABC Pyhäjärvi;181;0.5;150;4;SuperCharger;1;1;0
ABC Pyhäjärvi;181;0.5;50;1;CCS;1;1;0
ABC Pyhäjärvi;181;0.5;24;1;CCS;1;1;0
ABC Pyhäjärvi;181;0.5;50;1;CHAdeMO;1;1;0
ABC Pyhäjärvi;181;0.5;24;1;CHAdeMO;1;1;0
ABC Pyhäjärvi;181;0.5;22;2;Type2;1;1;0
Juustoportti Kärsämäki;214;0.2;50;1;CCS;1;1;0
Juustoportti Kärsämäki;214;0.2;50;1;CHAdeMO;1;1;0
Juustoportti Kärsämäki;214;0.2;22;2;Type2;1;1;0
Hotelli Keskipiste;214;0.3;11;1;Type2;0;0;1
Hesburger Siikalatva Pulkkila;259;0.1;50;1;CCS;0;1;0
Hesburger Siikalatva Pulkkila;259;0.1;50;1;CHAdeMO;0;1;0
Hesburger Siikalatva Pulkkila;259;0.1;22;2;Type2;0;1;0
Hesburger Liminka Drive-in;315;2;50;1;CCS;0;1;0
Hesburger Liminka Drive-in;315;2;50;1;CHAdeMO;0;1;0
Hesburger Liminka Drive-in;315;2;22;2;Type2;0;1;0
Limingan Osuuspankki;315;4;22;2;Type2;0;0;0
Lakeustalo Liminka;315;5;22;4;Type2;1;1;0
McDonald’s Kempele;326;0.9;225;2;CCS;0;1;0
Oulun Seudun Sähkö;326;1.1;22;1;Type2;0;0;0
Neste K Kempele Ouluntulli;330;0.9;22;2;Type2;0;0;0
K-Citymarket Oulu Kaakkuri;332;1.3;50;2;CCS;1;1;0
K-Citymarket Oulu Kaakkuri;332;1.3;50;2;CHAdeMO;1;1;0
K-Citymarket Oulu Kaakkuri;332;1.3;22;4;Type2;1;1;0
Motonet Oulu, Vasaraperä;332;2.7;11;2;Type2;0;0;0
McDonald’s Oulu Kaakkuri;332;1.4;225;2;CCS;0;1;0
McDonald’s Oulu Kaakkuri;332;1.4;75;1;CCS;0;1;0
McDonald’s Oulu Kaakkuri;332;1.4;50;1;CHAdeMO;0;1;0
Kauppakeskus Kaakkurinkulma;332;1.5;22;2;Type2;1;1;0
Pohjola Sairaala Oulu;334;1.1;22;6;Type2;0;0;1
Kärkkäinen Oulu;334;4;22;1;Type2;1;0;0
Kiinteistö-Oy Oulun Voudintie 3;335;3.8;22;2;Type2;0;1;0
Prisma Limingantulli;335;4;50;1;CCS;1;1;0
Prisma Limingantulli;335;4;50;1;CHAdeMO;1;1;0
Prisma Limingantulli;335;4;43;1;Type2;1;1;0
Pörhön Autoliike Oulu;335;4.5;50;1;CCS;0;1;0
Pörhön Autoliike Oulu;335;4.5;50;1;CHAdeMO;0;1;0
Pörhön Autoliike Oulu;335;4.5;22;3;Type2;0;1;0
