Pituus:;108;;;;;;;
;;;;;;;;
Latauspiste;Etäisyys;Etäisyys tiestä;Teho (kW);Laturien lkm;Tyyppi;Kauppa;Ruoka;Asiakkaille
Kauppakeskus Valkea;0;1.9;22;4;Type2;1;1;0
P-Autotori / Scandic Oulu City;0;2.4;11;3;Type2;0;1;0
Sokos Hotel Arina;0;2.6;11;2;Type2;0;1;0
Kivisydän – Pirkkahalli;0;2.1;22;3;Type2;0;0;0
Best Western Hotel Apollo;0;2;22;6;Type2;0;1;1
Best Western Hotel Apollo;0;2;17;5;SuperCharger;0;1;1
Best Western Hotel Apollo;0;2;11;1;Type2;0;1;1
Lapland Hotels Oulu;0;2.5;22;1;SuperCharger;0;1;1
Lapland Hotels Oulu;0;2.5;22;2;Type2;0;1;1
Oulun Energian Toimitalo;0;2.8;50;1;CCS;0;0;0
Oulun Energian Toimitalo;0;2.8;50;1;CHAdeMo;0;0;0
Oulun Energian Toimitalo;0;2.8;22;1;Type2;0;0;0
Radisson Blu Oulu;0;2.6;22;2;Type2;0;1;1
Autoparkki Sairaalanrinteen Parkki;0;1.5;11;3;Type2;0;0;0
K-Citymarket Oulu Rusko;2.5;2.8;50;2;CCS;1;1;0
K-Citymarket Oulu Rusko;2.5;2.8;50;2;CHAdeMo;1;1;0
K-Citymarket Oulu Rusko;2.5;2.8;22;4;Type2;1;1;0
K-Supermarket Toppila;4.7;2.5;50;2;CCS;1;1;0
K-Supermarket Toppila;4.7;2.5;50;2;CHAdeMo;1;1;0
K-Supermarket Toppila;4.7;2.5;22;4;Type2;1;1;0
Motonet Oulu, Ritaharju;9.4;0.6;11;2;Type2;1;1;0
OSAO Haukipudas;23;1.3;50;1;CCS;0;0;0
OSAO Haukipudas;23;1.3;50;1;CHAdeMo;0;0;0
OSAO Haukipudas;23;1.3;22;1;Type2;0;0;0
Kärkkäinen Ii;33.5;0.3;43;1;CCS;1;1;0
Kärkkäinen Ii;33.5;0.3;43;1;CHAdeMo;1;1;0
Iin terveysasema;36.7;1.6;22;2;Type2;0;0;0
Iin Sillat - motelli & camping;37.3;0.7;17;2;SuperCharger;0;0;1
Iin Sillat - motelli & camping;37.3;0.7;17;1;Type2;0;0;1
Neste Nelosparkki;69.6;0.1;50;1;CCS;1;1;1
Neste Nelosparkki;69.6;0.1;50;1;CHAdeMo;1;1;1
Kuivaniemen terveysasema;71.1;0.8;22;1;Type2;0;0;0
Simon kunta, pääkirjasto;80.6;0.2;17;1;Type2;0;0;0
Neste K Lapintuuli;99.2;0.3;22;2;Type2;1;1;0
ETRA Mega Center Kemi;105.1;0.9;50;1;CCS;0;0;1
ETRA Mega Center Kemi;105.1;0.9;50;1;CHAdeMo;0;0;1
ETRA Mega Center Kemi;105.1;0.9;22;1;Type2;0;0;1
Lumilinna Camping – Experience365;105.1;2.3;11;6;Työmaapistoke;0;1;1
